UC;Nome;Aprovados;Reprovados;NaoAvaliados;Abandonos;Inscritos;Curso;Semestre;Ano
425118;Deteção e Tolerância a Intrusões;0;0;1;0;1;Curso de Especialização em Data Science;2;2017
425118;Deteção e Tolerância a Intrusões;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2017
425118;Deteção e Tolerância a Intrusões;6;1;2;0;9;Mestrado Bolonha em Engenharia Informática;2;2017
425118;Deteção e Tolerância a Intrusões;2;0;0;0;2;Mestrado Bolonha em Informática;2;2017
425116;Desenho e Análise de Algoritmos;0;0;1;0;1;Curso de Especialização em Data Science;2;2017
425116;Desenho e Análise de Algoritmos;1;0;0;0;1;Curso Livre em Erasmus;2;2017
425116;Desenho e Análise de Algoritmos;0;1;1;0;2;Licenciatura Bolonha em Engenharia Informática;2;2017
425116;Desenho e Análise de Algoritmos;0;0;2;0;2;Licenciatura Bolonha em Matemática Aplicada;2;2017
425116;Desenho e Análise de Algoritmos;0;0;1;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2017
425116;Desenho e Análise de Algoritmos;6;0;1;0;7;Mestrado Bolonha em Engenharia Informática;2;2017
425116;Desenho e Análise de Algoritmos;3;1;5;0;9;Mestrado Bolonha em Informática;2;2017
425115;Configuração e Gestão de Sistemas;1;0;0;0;1;Curso de Especialização em Informática;2;2017
425115;Configuração e Gestão de Sistemas;9;0;0;0;9;Mestrado Bolonha em Engenharia Informática;2;2017
425115;Configuração e Gestão de Sistemas;8;0;3;0;11;Mestrado Bolonha em Informática;2;2017
425115;Configuração e Gestão de Sistemas;6;0;3;0;9;Mestrado Bolonha em Segurança Informática;2;2017
425110;Aplicações na Web;4;0;0;0;4;Curso de Especialização em Data Science;2;2017
425110;Aplicações na Web;2;0;2;0;4;Curso de Especialização em Informática;2;2017
425110;Aplicações na Web;2;0;0;0;2;Curso Livre em Erasmus;2;2017
425110;Aplicações na Web;12;0;2;0;14;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2017
425110;Aplicações na Web;20;0;2;0;22;Mestrado Bolonha em Engenharia Informática;2;2017
425110;Aplicações na Web;12;0;2;0;14;Mestrado Bolonha em Informática;2;2017
425110;Aplicações na Web;1;0;0;0;1;Mestrado Bolonha em Segurança Informática;2;2017
425110;Aplicações na Web;7;1;0;0;8;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2017
425109;Animação e Ambientes Virtuais;1;0;0;0;1;Curso de Especialização em Informática;2;2017
425109;Animação e Ambientes Virtuais;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2017
425109;Animação e Ambientes Virtuais;0;0;1;0;1;Licenciatura Bolonha em Matemática Aplicada;2;2017
425109;Animação e Ambientes Virtuais;3;0;0;0;3;Licenciatura Bolonha em Tecnologias de Informação;2;2017
425109;Animação e Ambientes Virtuais;9;0;0;0;9;Mestrado Bolonha em Engenharia Informática;2;2017
425109;Animação e Ambientes Virtuais;9;0;2;0;11;Mestrado Bolonha em Informática;2;2017
425250;Introdução à Investigação em Ciência de Dados;2;0;2;0;4;Mestrado Bolonha em Ciência de Dados;1;2018
425248;Seminário em Ciência de Dados;6;0;0;0;6;Curso de Especialização em Data Science;1;2018
425248;Seminário em Ciência de Dados;16;0;2;0;18;Mestrado Bolonha em Ciência de Dados;1;2018
425247;Fundamentos de Ciência de Dados;6;0;0;0;6;Curso de Especialização em Data Science;1;2018
425247;Fundamentos de Ciência de Dados;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2018
425247;Fundamentos de Ciência de Dados;16;0;0;0;16;Mestrado Bolonha em Ciência de Dados;1;2018
425244;Fundamentos da Web Semântica;1;0;0;0;1;Curso Livre em Erasmus;1;2018
425244;Fundamentos da Web Semântica;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425244;Fundamentos da Web Semântica;5;1;0;0;6;Mestrado Bolonha em Ciência de Dados;1;2018
425244;Fundamentos da Web Semântica;2;0;0;0;2;Mestrado Bolonha em Engenharia Informática;1;2018
425244;Fundamentos da Web Semântica;2;0;0;0;2;Mestrado Bolonha em Informática;1;2018
425243;Visualização de Dados;3;0;0;0;3;Curso de Especialização em Data Science;1;2018
425243;Visualização de Dados;2;0;0;0;2;Curso de Especialização em Informática;1;2018
425243;Visualização de Dados;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425243;Visualização de Dados;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2018
425243;Visualização de Dados;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425243;Visualização de Dados;9;0;0;0;9;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2018
425243;Visualização de Dados;1;0;0;0;1;Mestrado Bolonha em Ciência de Dados;1;2018
425243;Visualização de Dados;7;0;0;0;7;Mestrado Bolonha em Engenharia Informática;1;2018
425243;Visualização de Dados;11;1;0;0;12;Mestrado Bolonha em Informática;1;2018
425243;Visualização de Dados;1;0;0;0;1;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2018
425243;Visualização de Dados;3;0;1;0;4;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2018
425243;Visualização de Dados;1;0;0;0;1;Mestrado Integrado em Engenharia Física;1;2018
425239;Experiência de Utilização;1;0;0;0;1;Curso de Especialização em Informática;1;2018
425239;Experiência de Utilização;1;0;0;0;1;Curso Livre em Erasmus;1;2018
425239;Experiência de Utilização;5;0;0;0;5;Licenciatura Bolonha em Engenharia Informática;1;2018
425239;Experiência de Utilização;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425239;Experiência de Utilização;8;0;0;0;8;Mestrado Bolonha em Engenharia Informática;1;2018
425239;Experiência de Utilização;6;0;1;0;7;Mestrado Bolonha em Informática;1;2018
425232;Cibercrime e Análise Forense;15;0;1;0;16;Mestrado Bolonha em Segurança Informática;1;2018
425230;Análise e Gestão de Risco em Segurança Informática;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425230;Análise e Gestão de Risco em Segurança Informática;1;1;0;0;2;Mestrado Bolonha em Engenharia Informática;1;2018
425230;Análise e Gestão de Risco em Segurança Informática;4;1;1;0;6;Mestrado Bolonha em Informática;1;2018
425230;Análise e Gestão de Risco em Segurança Informática;13;0;0;0;13;Mestrado Bolonha em Segurança Informática;1;2018
425229;Programação para Cluster e Multicore;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425229;Programação para Cluster e Multicore;0;0;0;1;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425229;Programação para Cluster e Multicore;3;0;0;1;4;Mestrado Bolonha em Ciência de Dados;1;2018
425229;Programação para Cluster e Multicore;5;0;0;0;5;Mestrado Bolonha em Engenharia Informática;1;2018
425229;Programação para Cluster e Multicore;1;0;0;0;1;Mestrado Bolonha em Informática;1;2018
425221;Programação Por Objetos;2;0;0;0;2;Curso de Especialização em Informática;1;2018
425221;Programação Por Objetos;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425221;Programação Por Objetos;2;0;1;0;3;Curso Livre em Regime Livre;1;2018
425221;Programação Por Objetos;3;1;0;0;4;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2018
425221;Programação Por Objetos;0;1;1;0;2;Mestrado Bolonha em Engenharia Geoespacial;1;2018
425221;Programação Por Objetos;0;1;0;0;1;Mestrado Bolonha em Estatística e Investigação Operacional;1;2018
425221;Programação Por Objetos;1;0;0;0;1;Mestrado Bolonha em Física;1;2018
425221;Programação Por Objetos;9;3;3;0;15;Mestrado Bolonha em Informática;1;2018
425221;Programação Por Objetos;4;0;1;0;5;Mestrado Integrado em Engenharia Física;1;2018
425216;Aprendizagem Automática;5;2;0;0;7;Curso de Especialização em Data Science;1;2018
425216;Aprendizagem Automática;1;1;0;0;2;Curso de Especialização em Informática;1;2018
425216;Aprendizagem Automática;7;0;0;0;7;Curso Livre em Erasmus;1;2018
425216;Aprendizagem Automática;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425216;Aprendizagem Automática;4;0;0;0;4;Licenciatura Bolonha em Engenharia Informática;1;2018
425216;Aprendizagem Automática;0;0;1;0;1;Licenciatura Bolonha em Física;1;2018
425216;Aprendizagem Automática;0;0;1;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425216;Aprendizagem Automática;7;0;0;0;7;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2018
425216;Aprendizagem Automática;13;0;3;0;16;Mestrado Bolonha em Ciência de Dados;1;2018
425216;Aprendizagem Automática;13;0;0;0;13;Mestrado Bolonha em Engenharia Informática;1;2018
425216;Aprendizagem Automática;0;0;1;0;1;Mestrado Bolonha em Estatística e Investigação Operacional;1;2018
425216;Aprendizagem Automática;7;1;3;0;11;Mestrado Bolonha em Informática;1;2018
425216;Aprendizagem Automática;1;0;0;0;1;Mestrado Integrado em Engenharia Física;1;2018
425203;Fundamentos de Programação;3;0;0;0;3;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;1;2018
425203;Fundamentos de Programação;1;1;0;0;2;Curso de Especialização em Informática;1;2018
425203;Fundamentos de Programação;1;1;0;0;2;Curso Livre em Erasmus;1;2018
425203;Fundamentos de Programação;1;1;1;0;3;Curso Livre em Regime Livre;1;2018
425203;Fundamentos de Programação;1;1;2;0;4;Mestrado Bolonha em Bioestatística;1;2018
425203;Fundamentos de Programação;20;1;1;0;22;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2018
425203;Fundamentos de Programação;1;0;0;0;1;Mestrado Bolonha em Ciências do Mar;1;2018
425203;Fundamentos de Programação;5;1;0;0;6;Mestrado Bolonha em Informática;1;2018
425203;Fundamentos de Programação;1;0;0;0;1;Mestrado Bolonha em Matemática Aplicada à Economia e Gestão;1;2018
425203;Fundamentos de Programação;3;1;1;0;5;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2018
425199;Computação Natural;4;0;0;0;4;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2018
425179;Sistemas de Software Seguros;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425179;Sistemas de Software Seguros;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425179;Sistemas de Software Seguros;17;0;0;0;17;Mestrado Bolonha em Segurança Informática;1;2018
425173;Introdução à Segurança Informática;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425173;Introdução à Segurança Informática;16;0;0;0;16;Mestrado Bolonha em Segurança Informática;1;2018
425160;Vida Artificial;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425160;Vida Artificial;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2018
425160;Vida Artificial;0;0;0;2;2;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425160;Vida Artificial;4;0;0;0;4;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2018
425160;Vida Artificial;2;0;0;0;2;Mestrado Bolonha em Engenharia Informática;1;2018
425160;Vida Artificial;3;0;0;1;4;Mestrado Bolonha em Informática;1;2018
425160;Vida Artificial;3;0;0;0;3;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2018
425157;Tolerância a Faltas Distribuída;3;1;0;0;4;Licenciatura Bolonha em Engenharia Informática;1;2018
425157;Tolerância a Faltas Distribuída;10;0;1;0;11;Mestrado Bolonha em Engenharia Informática;1;2018
425157;Tolerância a Faltas Distribuída;2;0;2;0;4;Mestrado Bolonha em Informática;1;2018
425157;Tolerância a Faltas Distribuída;18;1;1;0;20;Mestrado Bolonha em Segurança Informática;1;2018
425153;Tecnologias de Middleware;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425153;Tecnologias de Middleware;17;1;0;0;18;Mestrado Bolonha em Engenharia Informática;1;2018
425153;Tecnologias de Middleware;2;2;1;0;5;Mestrado Bolonha em Informática;1;2018
425152;Tecnologia de Bases de Dados;5;1;1;0;7;Curso de Especialização em Data Science;1;2018
425152;Tecnologia de Bases de Dados;0;1;0;0;1;Curso Livre em Regime Livre;1;2018
425152;Tecnologia de Bases de Dados;4;1;0;0;5;Licenciatura Bolonha em Engenharia Informática;1;2018
425152;Tecnologia de Bases de Dados;1;0;0;0;1;Licenciatura Bolonha em Estatística Aplicada;1;2018
425152;Tecnologia de Bases de Dados;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425152;Tecnologia de Bases de Dados;11;0;3;0;14;Mestrado Bolonha em Ciência de Dados;1;2018
425152;Tecnologia de Bases de Dados;15;2;1;0;18;Mestrado Bolonha em Engenharia Informática;1;2018
425152;Tecnologia de Bases de Dados;0;0;3;0;3;Mestrado Bolonha em Estatística e Investigação Operacional;1;2018
425152;Tecnologia de Bases de Dados;8;2;0;0;10;Mestrado Bolonha em Informática;1;2018
425149;Software Fiável;1;0;1;0;2;Licenciatura Bolonha em Engenharia Informática;1;2018
425149;Software Fiável;0;0;3;0;3;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425149;Software Fiável;10;6;4;0;20;Mestrado Bolonha em Engenharia Informática;1;2018
425149;Software Fiável;1;0;0;0;1;Mestrado Bolonha em Informática;1;2018
425146;Sistemas Multi-Agente;1;0;0;0;1;Curso Livre em Erasmus;1;2018
425146;Sistemas Multi-Agente;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425146;Sistemas Multi-Agente;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;1;2018
425146;Sistemas Multi-Agente;8;0;0;0;8;Mestrado Bolonha em Engenharia Informática;1;2018
425146;Sistemas Multi-Agente;1;0;0;0;1;Mestrado Bolonha em Informática;1;2018
425141;Segurança de Software;1;0;1;0;2;Curso Livre em Erasmus;1;2018
425141;Segurança de Software;0;1;0;0;1;Curso Livre em Regime Livre;1;2018
425141;Segurança de Software;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;1;2018
425141;Segurança de Software;8;1;0;0;9;Mestrado Bolonha em Engenharia Informática;1;2018
425141;Segurança de Software;2;2;0;0;4;Mestrado Bolonha em Informática;1;2018
425141;Segurança de Software;1;0;0;0;1;Mestrado Integrado em Engenharia Física;1;2018
425132;Programação em Sistemas Distribuídos;5;0;0;0;5;Licenciatura Bolonha em Engenharia Informática;1;2018
425132;Programação em Sistemas Distribuídos;12;0;1;0;13;Mestrado Bolonha em Engenharia Informática;1;2018
425132;Programação em Sistemas Distribuídos;1;0;1;0;2;Mestrado Bolonha em Informática;1;2018
425123;Gestão do Conhecimento;1;0;0;0;1;Curso Livre em Regime Livre;1;2018
425123;Gestão do Conhecimento;4;0;0;0;4;Mestrado Bolonha em Engenharia Informática;1;2018
425123;Gestão do Conhecimento;3;0;0;0;3;Mestrado Bolonha em Informática;1;2018
425122;Gestão de Projetos;1;0;0;0;1;Curso de Especialização em Informática;1;2018
425122;Gestão de Projetos;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425122;Gestão de Projetos;0;1;0;0;1;Curso Livre em Regime Livre;1;2018
425122;Gestão de Projetos;6;0;0;0;6;Licenciatura Bolonha em Engenharia Informática;1;2018
425122;Gestão de Projetos;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425122;Gestão de Projetos;25;0;0;0;25;Mestrado Bolonha em Engenharia Informática;1;2018
425122;Gestão de Projetos;13;1;0;0;14;Mestrado Bolonha em Informática;1;2018
425121;Fundamentos de Segurança;3;5;1;0;9;Mestrado Bolonha em Informática;1;2018
425117;Design de Software;2;0;1;0;3;Licenciatura Bolonha em Engenharia Informática;1;2018
425117;Design de Software;22;4;3;0;29;Mestrado Bolonha em Engenharia Informática;1;2018
425117;Design de Software;0;0;1;0;1;Mestrado Bolonha em Informática;1;2018
425113;Computação Móvel;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425113;Computação Móvel;8;1;0;0;9;Licenciatura Bolonha em Engenharia Informática;1;2018
425113;Computação Móvel;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2018
425113;Computação Móvel;26;0;1;0;27;Mestrado Bolonha em Engenharia Informática;1;2018
425113;Computação Móvel;5;0;2;0;7;Mestrado Bolonha em Informática;1;2018
425113;Computação Móvel;2;0;0;0;2;Mestrado Bolonha em Segurança Informática;1;2018
425105;Introdução às Bases de Dados;1;0;1;0;2;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;1;2018
425105;Introdução às Bases de Dados;1;0;0;0;1;Curso de Especialização em Informática;1;2018
425105;Introdução às Bases de Dados;2;0;0;0;2;Curso Livre em Erasmus;1;2018
425105;Introdução às Bases de Dados;2;0;2;0;4;Curso Livre em Regime Livre;1;2018
425105;Introdução às Bases de Dados;4;0;1;0;5;Mestrado Bolonha em Bioestatística;1;2018
425105;Introdução às Bases de Dados;16;0;1;0;17;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2018
425105;Introdução às Bases de Dados;3;0;0;0;3;Mestrado Bolonha em Engenharia Geoespacial;1;2018
425105;Introdução às Bases de Dados;2;0;0;0;2;Mestrado Bolonha em Estatística e Investigação Operacional;1;2018
425105;Introdução às Bases de Dados;7;1;0;0;8;Mestrado Bolonha em Informática;1;2018
425105;Introdução às Bases de Dados;6;0;1;0;7;Mestrado Bolonha em Matemática Aplicada à Economia e Gestão;1;2018
425105;Introdução às Bases de Dados;3;1;0;0;4;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2018
425246;Complementos de Aprendizagem Automática;4;1;0;0;5;Curso de Especialização em Data Science;2;2018
425246;Complementos de Aprendizagem Automática;0;0;1;0;1;Licenciatura Bolonha em Engenharia Informática;2;2018
425246;Complementos de Aprendizagem Automática;0;0;1;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425246;Complementos de Aprendizagem Automática;12;0;5;0;17;Mestrado Bolonha em Ciência de Dados;2;2018
425246;Complementos de Aprendizagem Automática;2;0;2;0;4;Mestrado Bolonha em Engenharia Informática;2;2018
425246;Complementos de Aprendizagem Automática;1;0;1;1;3;Mestrado Bolonha em Informática;2;2018
425245;Tecnologias de Processamento de Dados;5;0;0;0;5;Curso de Especialização em Data Science;2;2018
425245;Tecnologias de Processamento de Dados;0;0;1;0;1;Curso de Especialização em Informática;2;2018
425245;Tecnologias de Processamento de Dados;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425245;Tecnologias de Processamento de Dados;3;1;1;0;5;Licenciatura Bolonha em Engenharia Informática;2;2018
425245;Tecnologias de Processamento de Dados;1;0;0;3;4;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425245;Tecnologias de Processamento de Dados;13;0;0;1;14;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425245;Tecnologias de Processamento de Dados;15;0;2;0;17;Mestrado Bolonha em Ciência de Dados;2;2018
425245;Tecnologias de Processamento de Dados;0;0;1;0;1;Mestrado Bolonha em Engenharia Geoespacial;2;2018
425245;Tecnologias de Processamento de Dados;14;3;2;0;19;Mestrado Bolonha em Engenharia Informática;2;2018
425245;Tecnologias de Processamento de Dados;11;1;0;1;13;Mestrado Bolonha em Informática;2;2018
425245;Tecnologias de Processamento de Dados;4;0;0;0;4;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2018
425245;Tecnologias de Processamento de Dados;2;0;0;1;3;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2018
425242;Prospeção de Dados;6;0;0;0;6;Curso de Especialização em Data Science;2;2018
425242;Prospeção de Dados;1;0;0;0;1;Curso Livre em Erasmus;2;2018
425242;Prospeção de Dados;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425242;Prospeção de Dados;2;0;1;0;3;Licenciatura Bolonha em Engenharia Informática;2;2018
425242;Prospeção de Dados;0;0;1;0;1;Licenciatura Bolonha em Física;2;2018
425242;Prospeção de Dados;1;0;2;0;3;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425242;Prospeção de Dados;11;0;0;0;11;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425242;Prospeção de Dados;12;0;3;0;15;Mestrado Bolonha em Ciência de Dados;2;2018
425242;Prospeção de Dados;2;0;1;0;3;Mestrado Bolonha em Engenharia Informática;2;2018
425242;Prospeção de Dados;7;1;2;0;10;Mestrado Bolonha em Informática;2;2018
425242;Prospeção de Dados;1;0;0;0;1;Mestrado Bolonha em Matemática Aplicada à Economia e Gestão;2;2018
425242;Prospeção de Dados;10;0;0;0;10;Mestrado Bolonha em Segurança Informática;2;2018
425242;Prospeção de Dados;3;0;0;0;3;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2018
425241;Estudos Avançados em Bioinformatica e Biologia Computacional;12;0;1;0;13;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425240;Computação em Nuvem;2;1;0;0;3;Curso de Especialização em Data Science;2;2018
425240;Computação em Nuvem;1;1;1;0;3;Curso Livre em Erasmus;2;2018
425240;Computação em Nuvem;2;3;0;0;5;Licenciatura Bolonha em Engenharia Informática;2;2018
425240;Computação em Nuvem;10;0;2;0;12;Mestrado Bolonha em Ciência de Dados;2;2018
425240;Computação em Nuvem;15;0;1;0;16;Mestrado Bolonha em Engenharia Informática;2;2018
425240;Computação em Nuvem;9;0;2;0;11;Mestrado Bolonha em Informática;2;2018
425237;Sistemas Ciberfísicos;0;0;1;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425237;Sistemas Ciberfísicos;3;0;2;0;5;Mestrado Bolonha em Engenharia Informática;2;2018
425237;Sistemas Ciberfísicos;1;0;0;0;1;Mestrado Bolonha em Informática;2;2018
425237;Sistemas Ciberfísicos;2;0;1;0;3;Mestrado Bolonha em Segurança Informática;2;2018
425237;Sistemas Ciberfísicos;0;0;1;0;1;Mestrado Integrado em Engenharia Física;2;2018
425236;Internet das Coisas;0;0;1;0;1;Curso de Especialização em Data Science;2;2018
425236;Internet das Coisas;1;0;0;0;1;Curso de Especialização em Informática;2;2018
425236;Internet das Coisas;2;0;0;0;2;Curso Livre em Erasmus;2;2018
425236;Internet das Coisas;0;0;1;0;1;Licenciatura Bolonha em Engenharia Informática;2;2018
425236;Internet das Coisas;2;0;0;0;2;Mestrado Bolonha em Engenharia Informática;2;2018
425236;Internet das Coisas;5;0;0;0;5;Mestrado Bolonha em Informática;2;2018
425234;Procedimentos de Segurança e Manuseamento de Informação Classificada;6;0;0;0;6;Mestrado Bolonha em Segurança Informática;2;2018
425231;Direito da Cibersegurança;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425231;Direito da Cibersegurança;13;0;1;0;14;Mestrado Bolonha em Segurança Informática;2;2018
425213;Ontologias aplicadas às Ciências;1;0;1;0;2;Mestrado Bolonha em Bioestatística;2;2018
425213;Ontologias aplicadas às Ciências;15;0;2;0;17;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425210;Sistemas Interativos em Ciências;4;0;1;0;5;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425208;Robôs Móveis;1;0;0;0;1;Curso de Especialização em Informática;2;2018
425208;Robôs Móveis;2;0;0;0;2;Curso Livre em Erasmus;2;2018
425208;Robôs Móveis;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425208;Robôs Móveis;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;2;2018
425208;Robôs Móveis;2;0;1;0;3;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425208;Robôs Móveis;6;0;2;1;9;Mestrado Bolonha em Engenharia Informática;2;2018
425208;Robôs Móveis;6;0;0;1;7;Mestrado Bolonha em Informática;2;2018
425208;Robôs Móveis;1;0;0;0;1;Mestrado Integrado em Engenharia Física;2;2018
425205;Inteligência Artificial em Jogos;0;0;1;0;1;Curso de Especialização em Informática;2;2018
425205;Inteligência Artificial em Jogos;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425205;Inteligência Artificial em Jogos;1;1;2;0;4;Licenciatura Bolonha em Engenharia Informática;2;2018
425205;Inteligência Artificial em Jogos;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425205;Inteligência Artificial em Jogos;10;0;1;0;11;Mestrado Bolonha em Engenharia Informática;2;2018
425205;Inteligência Artificial em Jogos;8;0;2;0;10;Mestrado Bolonha em Informática;2;2018
425202;Complementos de Programação;0;0;1;0;1;Curso de Especialização em Informática;2;2018
425202;Complementos de Programação;1;0;0;0;1;Curso Livre em Erasmus;2;2018
425202;Complementos de Programação;3;1;2;0;6;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425202;Complementos de Programação;2;0;0;0;2;Mestrado Bolonha em Física;2;2018
425202;Complementos de Programação;11;0;0;0;11;Mestrado Bolonha em Informática;2;2018
425202;Complementos de Programação;1;0;1;0;2;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2018
425196;Data Warehousing e Data Mining;0;0;2;0;2;Mestrado Bolonha em Bioestatística;2;2018
425194;Bioinformática;2;0;1;0;3;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;2;2018
425194;Bioinformática;1;0;0;0;1;Curso Livre em Erasmus;2;2018
425194;Bioinformática;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425194;Bioinformática;1;0;1;0;2;Mestrado Bolonha em Bioestatística;2;2018
425194;Bioinformática;17;0;1;0;18;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2018
425194;Bioinformática;3;0;0;0;3;Mestrado Bolonha em Bioquímica;2;2018
425194;Bioinformática;0;1;0;0;1;Mestrado Bolonha em Informática;2;2018
425194;Bioinformática;13;0;2;0;15;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2018
425184;Tolerância a Intrusões;18;0;1;0;19;Mestrado Bolonha em Segurança Informática;2;2018
425175;Segurança Aplicada;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425175;Segurança Aplicada;18;0;1;0;19;Mestrado Bolonha em Segurança Informática;2;2018
425159;Verificação e Validação de Software;2;0;0;0;2;Curso Livre em Erasmus;2;2018
425159;Verificação e Validação de Software;1;0;0;0;1;Curso Livre em Regime Livre;2;2018
425159;Verificação e Validação de Software;4;1;0;0;5;Licenciatura Bolonha em Engenharia Informática;2;2018
425159;Verificação e Validação de Software;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2018
425159;Verificação e Validação de Software;29;1;0;0;30;Mestrado Bolonha em Engenharia Informática;2;2018
425159;Verificação e Validação de Software;12;1;0;0;13;Mestrado Bolonha em Informática;2;2018
425154;Tecnologias de Segurança;2;0;1;0;3;Licenciatura Bolonha em Engenharia Informática;2;2018
425154;Tecnologias de Segurança;4;0;3;0;7;Mestrado Bolonha em Engenharia Informática;2;2018
425154;Tecnologias de Segurança;1;0;1;0;2;Mestrado Bolonha em Informática;2;2018
425151;Técnicas de Interação Avançadas;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2018
425151;Técnicas de Interação Avançadas;5;0;0;0;5;Mestrado Bolonha em Engenharia Informática;2;2018
425151;Técnicas de Interação Avançadas;2;0;1;0;3;Mestrado Bolonha em Informática;2;2018
425151;Técnicas de Interação Avançadas;10;0;0;0;10;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2018
425150;Técnicas de Compilação;0;2;0;0;2;Licenciatura Bolonha em Engenharia Informática;2;2018
425150;Técnicas de Compilação;5;1;0;0;6;Mestrado Bolonha em Engenharia Informática;2;2018
425135;Qualidade de Software;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;2;2018
425135;Qualidade de Software;27;0;2;0;29;Mestrado Bolonha em Engenharia Informática;2;2018
425135;Qualidade de Software;5;0;1;0;6;Mestrado Bolonha em Informática;2;2018
425135;Qualidade de Software;1;0;0;0;1;Mestrado Bolonha em Segurança Informática;2;2018
